Date,Open,High,Low,Close,Volume
2012-02-09,14.788,15.282,14.782,15.171,1025324076
2012-02-08,14.473,14.667,14.449,14.664,473013479
2012-02-07,14.313,14.451,14.292,14.422,366724152
2012-02-06,14.101,14.304,14.096,14.273,289745115
2012-02-03,14.068,14.151,14.015,14.141,332864310
2012-02-02,14.025,14.065,13.966,14.001,216756207
2012-02-01,14.103,14.121,14.014,14.034,312933676
2012-01-31,14.021,14.097,13.937,14.043,454948254
2012-01-30,13.712,13.964,13.701,13.935,439890708
2012-01-27,13.666,13.797,13.652,13.759,347952337
2012-01-26,13.795,13.805,13.632,13.678,376152707
2012-01-25,13.979,13.98,13.65,13.74,1112244157
2012-01-24,13.077,13.077,12.907,12.933,630935920
2012-01-23,13.002,13.18,12.992,13.148,354916962
